ID;Documento;Grupos de Documentos;Conteúdo de Citação;Códigos;Bloco temático;Tema principal
43:01:00;Ação que questiona Acordo de Brumadinho será julgada pelo STF;Guaicuy;Direito dos PCTs não foi respeitado?Outro ponto citado é a violação do direito dos PCTs à consulta livre, prévia e informada, como prevê a Convenção 169 da Organização Internacional do Trabalho (OIT) e ratificada pelo poder público brasileiro. São citados os povos indígenas Pataxó e Pataxó Hãhã-Hãe, Kaxixó e Kamaca Mongoio, comunidades quilombolas, religiosas de matriz africana, pescadores artesanais, agricultores familiares, extrativistas, geraizeiros, benzedeiras e povos ciganos como exemplos de PCTs que não tiveram seu direito respeitado ao não serem consultados sobre o Acordo.;6 - Povos e Comunidades Tradicionais - PCTs;6 - Povos e Comunidades Tradicionais - PCTs;6 - Povos e Comunidades Tradicionais - PCTs
43:02:00;Ação que questiona Acordo de Brumadinho será julgada pelo STF;Guaicuy;Uma ação que contesta a assinatura do Acordo Judicial de Reparação dos danos causados pela Vale após o rompimento da barragem em Brumadinho vai ser julgada pelo Supremo Tribunal Federal (STF) a partir do dia 11 de abril. O processo afirma que não houve participação das pessoas atingidas no Acordo, que os valores que a Vale foi condenada a pagar são inferiores ao necessário e que o direito à consulta livre, prévia e informada de Povos e Comunidades Tradicionais (PCTs) não foi respeitado.??A Arguição de Descumprimento de Preceito Fundamental (ADPF) 790 é relatada pelo ministro André Mendonça. Ela foi movida pela Associação Nacional dos Atingidos por Barragens (ANAB), pelo Movimento pela Soberania Popular na Mineração (MAM), pelo Partido dos Trabalhadores (PT) e pelo Partido Socialismo e Liberdade (PSOL) no ano de 2021. O Ministro Marco Aurélio, que era o relator original, não admitiu a ação inicialmente. O que será julgado a partir de 11 de abril é um Agravo Regimental, recurso movido pelas partes para que a decisão de Marco Aurélio seja revista.??O Acordo Judicial foi assinado em fevereiro de 2021 pelo Estado de Minas Gerais, pelo Ministério Público Federal (MPF), pelo Ministério Público de Minas Gerais (MPMG), pela Defensoria Pública Estadual (DPE-MG) e pela mineradora que causou o rompimento, matou 272 pessoas e deixou um rastro de destruição na Bacia do Paraopeba. Com valor total de R$37,69 bilhões e resolveu os danos coletivos e difusos causados pela Vale. Os danos individuais não entraram no Acordo.??Não é possível saber quais seriam os efeitos práticos de uma decisão do STF que invalide o Acordo mais de quatro anos depois de sua assinatura. Há diversas ações previstas no Acordo já em curso ou prestes a começar, como é o caso do Programa de Transferência de Renda (PTR), do Anexo 1.1 (projetos de demandas das comunidades) ou do Anexo 2.2 (saneamento nos municípios atingidos).??Paula Oliveira, advogada do Instituto Guaicuy, avalia que é remota a chance do STF invalidar o Acordo. “A ação lista uma série de violações de direitos causadas pelo Acordo, poucos dias depois da assinatura. Tinha um pedido de liminar urgente que foi negado e, agora, quatro anos depois, isso será julgado. No pedido, foi solicitada a garantia de manutenção do que foi definido no Acordo, o que pode garantir que as ações em curso não sejam prejudicadas, caso a medida judicial seja provida. Mas não é simples prever quais seriam os próximos passos caso o STF entenda que o Acordo tem vícios e não poderia ter sido fechado da forma que foi”, comenta. Ela lembra que a Defensoria Pública da União (DPU), à época, desistiu de assinar o Acordo por conta da falta de participação popular.??Os principais questionamentos ao Acordo?Não houve participação das pessoas atingidas?Ao longo de todo o processo de discussão do Acordo, não houve a presença das pessoas interessadas no tema. As pessoas atingidas pelo desastre-crime não puderam opinar e sequer puderam saber o que estava sendo debatido. Houve segredo de justiça sobre as negociações e, posteriormente, uma cláusula de confidencialidade.??Na prática, isso significou que as pessoas atingidas só souberam do conteúdo do Acordo no dia em que ele foi assinado, por meio da imprensa. As Assessorias Técnicas Independentes (ATIs) tampouco participaram das discussões.??Valor do Acordo é muito baixo?Outra crítica é sobre o valor definido no Acordo, de R$ 37,69 bilhões, sendo R$ 6,28 bilhões são referentes a obrigações anteriores, consideradas já pagas pela mineradora. A ação que será julgada no STF lembra que os valores previstos inicialmente eram bem maiores: R$ 54,6 bilhões.??Direito dos PCTs não foi respeitado?Outro ponto citado é a violação do direito dos PCTs à consulta livre, prévia e informada, como prevê a Convenção 169 da Organização Internacional do Trabalho (OIT) e ratificada pelo poder público brasileiro. São citados os povos indígenas Pataxó e Pataxó Hãhã-Hãe, Kaxixó e Kamaca Mongoio, comunidades quilombolas, religiosas de matriz africana, pescadores artesanais, agricultores familiares, extrativistas, geraizeiros, benzedeiras e povos ciganos como exemplos de PCTs que não tiveram seu direito respeitado ao não serem consultados sobre o Acordo.;8 - AJRI: 8.2 - Cronograma e Andamento do AJRI;8 - AJRI; 8.2 - Cronograma e Andamento do AJRI
43:03:00;Ação que questiona Acordo de Brumadinho será julgada pelo STF;Guaicuy;Não houve participação das pessoas atingidas?Ao longo de todo o processo de discussão do Acordo, não houve a presença das pessoas interessadas no tema. As pessoas atingidas pelo desastre-crime não puderam opinar e sequer puderam saber o que estava sendo debatido. Houve segredo de justiça sobre as negociações e, posteriormente, uma cláusula de confidencialidade.??Na prática, isso significou que as pessoas atingidas só souberam do conteúdo do Acordo no dia em que ele foi assinado, por meio da imprensa. As Assessorias Técnicas Independentes (ATIs) tampouco participaram das discussões.;9 - Transparência no Monitoramento e Resultados;9 - Transparência no Monitoramento e Resultados;9 - Transparência no Monitoramento e Resultados
43:04:00;Ação que questiona Acordo de Brumadinho será julgada pelo STF;Guaicuy;O Acordo Judicial foi assinado em fevereiro de 2021 pelo Estado de Minas Gerais, pelo Ministério Público Federal (MPF), pelo Ministério Público de Minas Gerais (MPMG), pela Defensoria Pública Estadual (DPE-MG) e pela mineradora que causou o rompimento, matou 272 pessoas e deixou um rastro de destruição na Bacia do Paraopeba. Com valor total de R$37,69 bilhões e resolveu os danos coletivos e difusos causados pela Vale. Os danos individuais não entraram no Acordo.;8 - AJRI: 8.4 - Histórico;8 - AJRI; 8.4 - Histórico
43:05:00;Ação que questiona Acordo de Brumadinho será julgada pelo STF;Guaicuy;Uma ação que contesta a assinatura do Acordo Judicial de Reparação dos danos causados pela Vale após o rompimento da barragem em Brumadinho vai ser julgada pelo Supremo Tribunal Federal (STF) a partir do dia 11 de abril. O processo afirma que não houve participação das pessoas atingidas no Acordo, que os valores que a Vale foi condenada a pagar são inferiores ao necessário e que o direito à consulta livre, prévia e informada de Povos e Comunidades Tradicionais (PCTs) não foi respeitado.??A Arguição de Descumprimento de Preceito Fundamental (ADPF) 790 é relatada pelo ministro André Mendonça. Ela foi movida pela Associação Nacional dos Atingidos por Barragens (ANAB), pelo Movimento pela Soberania Popular na Mineração (MAM), pelo Partido dos Trabalhadores (PT) e pelo Partido Socialismo e Liberdade (PSOL) no ano de 2021. O Ministro Marco Aurélio, que era o relator original, não admitiu a ação inicialmente. O que será julgado a partir de 11 de abril é um Agravo Regimental, recurso movido pelas partes para que a decisão de Marco Aurélio seja revista.;9 - Transparência no Monitoramento e Resultados;9 - Transparência no Monitoramento e Resultados;9 - Transparência no Monitoramento e Resultados
43:05:00;Ação que questiona Acordo de Brumadinho será julgada pelo STF;Guaicuy;Uma ação que contesta a assinatura do Acordo Judicial de Reparação dos danos causados pela Vale após o rompimento da barragem em Brumadinho vai ser julgada pelo Supremo Tribunal Federal (STF) a partir do dia 11 de abril. O processo afirma que não houve participação das pessoas atingidas no Acordo, que os valores que a Vale foi condenada a pagar são inferiores ao necessário e que o direito à consulta livre, prévia e informada de Povos e Comunidades Tradicionais (PCTs) não foi respeitado.??A Arguição de Descumprimento de Preceito Fundamental (ADPF) 790 é relatada pelo ministro André Mendonça. Ela foi movida pela Associação Nacional dos Atingidos por Barragens (ANAB), pelo Movimento pela Soberania Popular na Mineração (MAM), pelo Partido dos Trabalhadores (PT) e pelo Partido Socialismo e Liberdade (PSOL) no ano de 2021. O Ministro Marco Aurélio, que era o relator original, não admitiu a ação inicialmente. O que será julgado a partir de 11 de abril é um Agravo Regimental, recurso movido pelas partes para que a decisão de Marco Aurélio seja revista.;6 - Povos e Comunidades Tradicionais - PCTs;6 - Povos e Comunidades Tradicionais - PCTs;6 - Povos e Comunidades Tradicionais - PCTs
44:01:00;Acompanhamento do Programa de Recuperação Socioambiental e dos Estudos de Risco à Saúde Humana;Guaicuy;O acompanhamento do Programa de Recuperação Socioambiental (PRSABP) e do Estudo de Avaliação de Risco à Saúde Humana e Risco Ecológico (ERSHRE) vem sendo auditado pela empresa AECOM desde 15 de fevereiro de 2019.??O trabalho da auditoria é feito através da fiscalização das metodologias empregadas, produção de dados (ambientais, sociais e de saúde humana), atividades, resultados e cumprimento de prazos da Vale, no que se refere às ações voltadas às suas obrigações  de fazer, assumidas com a assinatura do Acordo Judicial Global de 4 de fevereiro de 2021.??Os resultados da auditoria da AECOM dos programas executados pela Vale, são repassados diretamente e periodicamente para o Ministério Público e Defensoria Pública, através de relatórios e notas técnicas. Outra forma de repasse é feita através de reuniões mensais, nas quais a AECOM apresenta, para as Instituições de Justiça e Estado, um diagnóstico sobre o cumprimento das obrigações da Vale, atividades, prazos e metas realizadas e/ou pendentes, dos últimos 30 dias.??Além do Ministério Público e Defensoria Pública, participam dessas reuniões a Vale, representantes de órgãos do Estado, como do Instituto Mineiro de Gestão das Águas (IGAM) e Fundação Estadual de Meio Ambiente (FEAM), as Assessorias Técnicas Independentes (ATIs) das pessoas atingidas (AEDAS, NACAB e Guaicuy), dentre outros atores.??É importante notar que as ATIs foram autorizadas a participar da reunião somente na condição de observadoras, sem direito de fala. As pessoas atingidas, por sua vez, até hoje não tiveram autorização para participar dessas reuniões.??Apresentamos abaixo uma síntese produzida pelo Guaicuy sobre os assuntos tratados na reunião, em especial para as Regiões 4 e 5.;5 - PRSA: 5.1 - Recuperação Ambiental;5 - PRSA; 5.1 - Recuperação Ambiental
44:01:00;Acompanhamento do Programa de Recuperação Socioambiental e dos Estudos de Risco à Saúde Humana;Guaicuy;O acompanhamento do Programa de Recuperação Socioambiental (PRSABP) e do Estudo de Avaliação de Risco à Saúde Humana e Risco Ecológico (ERSHRE) vem sendo auditado pela empresa AECOM desde 15 de fevereiro de 2019.??O trabalho da auditoria é feito através da fiscalização das metodologias empregadas, produção de dados (ambientais, sociais e de saúde humana), atividades, resultados e cumprimento de prazos da Vale, no que se refere às ações voltadas às suas obrigações  de fazer, assumidas com a assinatura do Acordo Judicial Global de 4 de fevereiro de 2021.??Os resultados da auditoria da AECOM dos programas executados pela Vale, são repassados diretamente e periodicamente para o Ministério Público e Defensoria Pública, através de relatórios e notas técnicas. Outra forma de repasse é feita através de reuniões mensais, nas quais a AECOM apresenta, para as Instituições de Justiça e Estado, um diagnóstico sobre o cumprimento das obrigações da Vale, atividades, prazos e metas realizadas e/ou pendentes, dos últimos 30 dias.??Além do Ministério Público e Defensoria Pública, participam dessas reuniões a Vale, representantes de órgãos do Estado, como do Instituto Mineiro de Gestão das Águas (IGAM) e Fundação Estadual de Meio Ambiente (FEAM), as Assessorias Técnicas Independentes (ATIs) das pessoas atingidas (AEDAS, NACAB e Guaicuy), dentre outros atores.??É importante notar que as ATIs foram autorizadas a participar da reunião somente na condição de observadoras, sem direito de fala. As pessoas atingidas, por sua vez, até hoje não tiveram autorização para participar dessas reuniões.??Apresentamos abaixo uma síntese produzida pelo Guaicuy sobre os assuntos tratados na reunião, em especial para as Regiões 4 e 5.;5 - PRSA: 5.6 - ERSHRE;5 - PRSA; 5.6 - ERSHRE
44:01:00;Acompanhamento do Programa de Recuperação Socioambiental e dos Estudos de Risco à Saúde Humana;Guaicuy;O acompanhamento do Programa de Recuperação Socioambiental (PRSABP) e do Estudo de Avaliação de Risco à Saúde Humana e Risco Ecológico (ERSHRE) vem sendo auditado pela empresa AECOM desde 15 de fevereiro de 2019.??O trabalho da auditoria é feito através da fiscalização das metodologias empregadas, produção de dados (ambientais, sociais e de saúde humana), atividades, resultados e cumprimento de prazos da Vale, no que se refere às ações voltadas às suas obrigações  de fazer, assumidas com a assinatura do Acordo Judicial Global de 4 de fevereiro de 2021.??Os resultados da auditoria da AECOM dos programas executados pela Vale, são repassados diretamente e periodicamente para o Ministério Público e Defensoria Pública, através de relatórios e notas técnicas. Outra forma de repasse é feita através de reuniões mensais, nas quais a AECOM apresenta, para as Instituições de Justiça e Estado, um diagnóstico sobre o cumprimento das obrigações da Vale, atividades, prazos e metas realizadas e/ou pendentes, dos últimos 30 dias.??Além do Ministério Público e Defensoria Pública, participam dessas reuniões a Vale, representantes de órgãos do Estado, como do Instituto Mineiro de Gestão das Águas (IGAM) e Fundação Estadual de Meio Ambiente (FEAM), as Assessorias Técnicas Independentes (ATIs) das pessoas atingidas (AEDAS, NACAB e Guaicuy), dentre outros atores.??É importante notar que as ATIs foram autorizadas a participar da reunião somente na condição de observadoras, sem direito de fala. As pessoas atingidas, por sua vez, até hoje não tiveram autorização para participar dessas reuniões.??Apresentamos abaixo uma síntese produzida pelo Guaicuy sobre os assuntos tratados na reunião, em especial para as Regiões 4 e 5.;9 - Transparência no Monitoramento e Resultados;9 - Transparência no Monitoramento e Resultados;9 - Transparência no Monitoramento e Resultados
45:01:00;Após quatro anos, STF finalmente julgará recurso em ação sobre Acordo de Brumadinho;NACAB;No último dia 3 de abril, foi incluída na pauta do plenário do Supremo Tribunal Federal (STF) o julgamento de recurso da Ação de Descumprimento de Preceito Fundamental (ADPF) que questiona a legitimidade do Acordo Judicial assinado em fevereiro de 2021. O julgamento será virtual e em plenário – ou seja, com a participação dos 11 ministros do Supremo.??O acordo, em vigor há mais de 4 anos e que impõe à Vale uma série de obrigações em resposta aos danos causados pelo rompimento das barragens em Brumadinho, foi alvo de protestos por parte das comunidades atingidas desde sua assinatura. Elas denunciaram a exclusão de suas vozes no processo de negociação e exigiam participação efetiva.???Foi nesse contexto que, poucos dias após a assinatura do acordo, movimentos sociais e partidos políticos ingressaram com a ADPF no Supremo. Assinada pela Associação Nacional dos Atingidos por Barragens (ANAB), pelo Movimento pela Soberania Popular na Mineração (MAM) e pelos partidos PSOL e PV, a ação questiona a validade do acordo pela ausência de participação das pessoas atingidas no processo de negociação, pedindo que sua validação judicial fosse anulada.???À época, o Supremo negou seguimento à ação. Os proponentes recorreram, mas não houve qualquer movimentação relevante desde então. Agora, finalmente, o recurso foi incluído na pauta de julgamentos prevista para ocorrer entre 11 e 24 de abril deste ano.???Os proponentes argumentam que, diante da gravidade e da extensão do desastre-crime, a assinatura de um acordo sem a participação das pessoas atingidas configura uma violação constitucional grave, que exige análise urgente por parte do Supremo. Sustentam, ainda, que o valor do acordo – R$ 37,4 bilhões – foi muito abaixo do que foi estimado pelo próprio poder público (R$ 54 bilhões). No atual contexto de discussão sobre o Programa de Transferência de Renda (PTR), também é importante destacar um estudo citado na ação, elaborado pelas Assessorias Técnicas Independentes (ATIs), calculando que o valor necessário para o programa seria pelo menos o dobro dos R$ 4,4 bilhões previstos no acordo.;8 - AJRI: 8.2 - Cronograma e Andamento do AJRI;8 - AJRI; 8.2 - Cronograma e Andamento do AJRI
