DATA;TÍTULO;VEICULO;CATEGORIA DO VEÍCULO;BLOCO TEMÁTICO;TEMA PRINCIPAL;TEMA 2;INFORMAÇÃO DUPLICADA;Categorias da Reparação Socioambiental;Assuntos relacionados à Categorias;URL;OBS
11/01/2024;Reparação Brumadinho: fortalecimento da agricultura contribui com desenvolvimento econômico e qualidade de vida na região atingida;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Economia;;NÃO;0 - Não aplicado;0.0 - Não aplicado;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-fortalecimento-da-agricultura-contribui-com-desenvolvimento-economico-e-qualidade-de-vida-na-regiao-atingida;
11/01/2024;Reparação Brumadinho 3 anos: projetos para fortalecimento da agricultura contribuem com desenvolvimento econômico e melhoria da qualidade de vida na região atingida;PRÓ-BRUMADINHO;Portal de Notícias;Meio Socioeconômico;Economia;;SIM;0 - Não aplicado;0.0 - Não aplicado;https://www.mg.gov.br/pro-brumadinho/noticias/reparacao-brumadinho-3-anos-projetos-para-fortalecimento-da-agricultura;
17/01/2024;Reparação Brumadinho 3 anos: povos e comunidades tradicionais da Bacia do Paraopeba participam de projetos socioeconômicos e estudos do Acordo Judicial;AGÊNCIA MINAS;Portal de Notícias;Outros;ERSHRE;;NÃO;4 - Comunicação Social;4.1 - Relacionamento com Comunidades;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-3-anos-povos-e-comunidades-tradicionais-da-bacia-do-paraopeba-participam-de-projetos-socioeconomicos-e-estudos-do-acordo-judicial;
17/01/2024;Reparação Brumadinho 3 anos: Povos e comunidades tradicionais da Bacia do Paraopeba participam de projetos socioeconômicos e estudos do Acordo Judicial;PRÓ-BRUMADINHO;Portal de Notícias;Outros;ERSHRE;;SIM;4 - Comunicação Social;4.1 - Relacionamento com Comunidades;https://www.mg.gov.br/pro-brumadinho/noticias/reparacao-brumadinho-3-anos-povos-e-comunidades-tradicionais-da-bacia-do-paraopeba;
18/01/2024;Reparação ambiental: conheça ações previstas no Acordo de Reparação ao rompimento das barragens da Vale, em Brumadinho;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;0.0 - Não aplicado;https://www.agenciaminas.mg.gov.br/noticia/reparacao-ambiental-conheca-acoes-previstas-no-acordo-de-reparacao-ao-rompimento-das-barragens-da-vale-em-brumadinho;
18/01/2024;Reparação Ambiental: entenda como está o andamento das ações de saneamento e de segurança hídrica previstas no Acordo de Reparação ao rompimento das barragens da Vale em Brumadinho;PRÓ-BRUMADINHO;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;0.0 - Não aplicado;https://www.mg.gov.br/pro-brumadinho/noticias/reparacao-ambiental-entenda-como-esta-o-andamento-das-acoes-de-saneamento-e-de-seguranca-hidrica;
18/01/2024;Reparação Brumadinho: Conheça as ações de saneamento e de segurança hídrica previstas no Acordo Judicial;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;0.0 - Não aplicado;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-conheca-as-acoes-de-saneamento-e-de-seguranca-hidrica-previstas-no-acordo-judicial;duplicação de matéria (links diferentes, mesma matéria)
18/01/2024;Governo de Minas publica quinta edição de caderno técnico sobre a recuperação socioambiental em Brumadinho;SEMAD;Portal de Notícias;Boletins informativos;Panorama Geral de Ações;5.3 - ERSHRE;NÃO;0 - Transversal;;https://liferay.meioambiente.mg.gov.br/web/infohidro/w/governo-de-minas-publica-quinta-edicao-de-caderno-tecnico-sobre-a-recuperacao-socioambiental-em-brumadinho?p_l_back_url=%2Fweb%2Finfohidro%2Fnot%25C3%25ADcias%3Fdelta%3D20%26start%3D4;panorama geral
19/01/2024;Governo de Minas publica quinta edição de caderno técnico sobre a recuperação socioambiental em Brumadinho;AGÊNCIA MINAS;Portal de Notícias;Boletins informativos;Panorama Geral de Ações;;SIM;0 - Transversal;;https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-publica-quinta-edicao-de-caderno-tecnico-sobre-a-recuperacao-socioambiental-em-brumadinho;panorama geral
19/01/2024;Instituições de Justiça e Governo de Minas apresentam ações realizadas em 3 anos do acordo de reparação ao rompimento em Brumadinho;MPMG;Portal de Notícias;Boletins informativos;Panorama Geral de Ações;;NÃO;0 - Transversal;;https://www.mpmg.mp.br/portal/menu/comunicacao/noticias/instituicoes-de-justica-e-governo-de-minas-apresentam-acoes-realizadas-em-3-anos-do-acordo-de-reparacao-ao-rompimento-em-brumadinho.shtml;panorama geral
