Data;Cidade;Localidade;Tipo de Ação;Pauta;Tratativa;Origem;Área Temática;MicroCategoria;Público Alvo;Status;"Data do Atendimento
(se atendida)"
05/01/2024;Paraopeba;Propriedade Rural;Atendimento individual virtual ou por telefone ;Solicitação de visita técnica agropecuária;Sra. M. solicita visita técnica agropecuária para atualizar sua demanda de insumo animal, visto que está conseguindo produzir parte deste insumo por irrigação de poço artesiano.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Em atendimento;Em atendimento
19/02/2024;Betim;Assentamento 02 De Julho;Atendimento individual presencial ;Programa de Qualificação Profissional (AJRI);RC D. R, compartilhou com as lideranças da comissão de atingidos o link para divulgação e inscrição para o Programa de Qualificação Profissional (AJRI).;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Em atendimento;Em atendimento
20/02/2024;Curvelo;Sede;Reunião comunidade presencial ;Participação da aula inaugural do curso Auxiliar de cozinha, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI.;Este curso profissionalizante de auxiliar de cozinha, gratuito com bolsa-auxílio, é parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;Respondida
12/03/2024;Juatuba;Centro;Reunião comunidade presencial ;Acompanhameto curso profissionalizante que faz parte do pacote do AJRI.;Acompanhamento da primeira aula do curso de auxiliar administrativo que teve o número máximo de inscritos, total de 23. Esse curso faz parte do pacote de respostas rápidas (AJRI);Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Em atendimento;
17/01/2024;Mário Campos;Reta 2;Reunião comunidade presencial ;Acompanhamento e apoio à visita realizada pela equipe de reparação socioeconômica  ;Acompanhamento e apoio na visita realizada pelo engenheiro da equipe de agronomia, para esclarecimentos de dúvidas apresentadas  pelos superficiários,  em relação à instalação de placas para o fornecimento de energia residencial . ;Solicitação Comunidade ;Atendimento Emergencial;Outros;Comunidade em Geral;Atendida;Atendida
13/03/2024;Três Marias;Sede;Reunião comunidade presencial ;Participação na aula inaugural do curso Eletricista Industrial, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI.;Este curso profissionalizante de eletricista industrial, gratuito com bolsa-auxílio, é parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;17/04/2024
22/01/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de informações sobre entrega de suprimentos;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Em atendimento;Em atendimento
22/02/2024;São Joaquim De Bicas;Fhemig;Atendimento individual virtual ou por telefone ;Morador reclama sobre o atraso na entrega do feno e solicita a regularização de imediato.;A entrega do feno foi realizada no dia seguinte.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Em atendimento;Em atendimento
26/03/2024;Mateus Leme;Sede;Reunião liderança presencial ;Aula Inaugural: PROGRAMA EDUCAÇÃO PROFISSIONAL Cuidador de Idosos, parte do AJRI;Participando da aula inaugural do Programa Educação Profissional, Curso Cuidador de Idoso no município de Mateus Leme, via AJRI.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Em atendimento;
22/02/2024;São Joaquim De Bicas;Fhemig;Atendimento individual virtual ou por telefone ;Moradora solicita alteração do cadastro nos atendimentos emergenciais;Realizada a alteração do cadastro para os atendimentos emergenciais de ração, milho, água potável e mineral para o nome da moradora Z. M ;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Atendida;Atendida
