Data;Cidade;Localidade;Tipo de Ação;Pauta;Tratativa;Área Temática;MicroCategoria;Público Alvo;Status;Classificação;Individual/Coletiva
24/02/2025;Esmeraldas;Padre João ;Atendimento individual presencial ;Solicita melhoria na propriedade que é ponto de acesso da equipe da Vale ao rio para monitoramento ambiental. ;Foi realizada visita com a empresa responsável pela execução das melhorias no local e o início está previsto para março. ;Rio Paraopeba;Obras - outros;Comunidade em Geral;Atendida;PRSA;Individual
05/01/2024;Esmeraldas;Taquaras;Contato para solicitação de autorização de acesso na propriedade para realização de coleta do solo.  ;Autorização assinada.  ;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
08/01/2024;Esmeraldas;Taquaras;Contato para solicitação de autorização de acesso na propriedade para realização de coleta do solo.  ;Autorização assinada.  ;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
11/01/2024;Esmeraldas;Taquaras;Contato com liderança para agendar a data para realização de coleta do solo, na comunidade. ;Agendado.;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Lideranças;Atendida;PRSA;Individual
18/01/2024;Esmeraldas;Taquaras;Coleta para amostragem de solo.;Realização de coleta para amostragem de solo.;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
18/01/2024;Esmeraldas;Taquaras;Coleta para amostragem de solo.;Realização de coleta para amostragem de solo.;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
18/01/2024;Esmeraldas;Taquaras;Coleta para amostragem de solo.;Realização de coleta para amostragem de solo.;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
18/01/2024;Esmeraldas;Taquaras;Coleta para amostragem de solo.;Realização de coleta para amostragem de solo.;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
18/01/2024;Esmeraldas;Taquaras;Coleta para amostragem de solo.;Realização de coleta para amostragem de solo.;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
18/01/2024;Esmeraldas;Taquaras;Coleta para amostragem de solo.;Realização de coleta para amostragem de solo.;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
22/03/2024;Esmeraldas;Taquaras;Solicita resultado da coleta de solo realizada em sua propriedade. ;Foi informado que  iremos entregar os resultados quando forem disponibilizados pela área técnica. ;Solicitação Comunidade ;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
01/04/2024;Florestal;Sede;Solicitação de autorização de acesso para realização de topografia batimétrica no Córrego, localizado próximo a propriedade, para projeto do AJRI.;Realizada a topografia;Inciativa Vale;Uso/qualidade da água;Uso/qualidade da água;Comunidade em Geral;Atendida;PRSA;Individual
01/04/2024;Florestal;Sede;Solicitação de autorização de acesso para realização de topografia batimétrica no Córrego, localizado próximo a propriedade, para projeto do AJRI.;Realizada a topografia;Inciativa Vale;Uso/qualidade da água;Uso/qualidade da água;Comunidade em Geral;Atendida;PRSA;Individual
01/04/2024;Florestal;Sede;Solicitação de autorização de acesso para realização de topografia batimétrica no Córrego, localizado próximo a propriedade, para projeto do AJRI.;Realizada a topografia;Inciativa Vale;Uso/qualidade da água;Uso/qualidade da água;Comunidade em Geral;Atendida;PRSA;Individual
01/04/2024;Florestal;Sede;Solicitação de autorização de acesso para realização de topografia batimétrica no Córrego, localizado próximo a propriedade, para projeto do AJRI.;Realizada a topografia;Inciativa Vale;Uso/qualidade da água;Uso/qualidade da água;Comunidade em Geral;Atendida;PRSA;Individual
01/04/2024;Florestal;Sede;Solicitação de autorização de acesso para realização de topografia batimétrica no Córrego, localizado próximo a propriedade, para projeto do AJRI.;Realizada a topografia;Inciativa Vale;Uso/qualidade da água;Uso/qualidade da água;Comunidade em Geral;Atendida;PRSA;Individual
02/04/2024;Brumadinho;Parque da Cachoeira, Parque do Lago e Alberto Flores;Reclamação de morador sobre a turbidez da água;Encaminhado para a área de saneamento que se posicionou sobre a não relação do problema com as ações da Vale;Solicitação Comunidade ;Uso/qualidade da água;Uso/qualidade da água;Comunidade em Geral;Respondida;PRSA;Coletiva
02/04/2024;Juatuba;Ponte Nova;Acompanhamento de devolutiva;Acompanhamento da devolutiva para o proprietário, A.L referente aos resultados das coletas na sua cisterna. Com apresentação de nitrato e amônia, o técnico explicou ao proprietário que o sistema de coleta será suspenso por um período e essa ação é comum e necessária para que talvez no retorno apresentem resultados diferente;Inciativa Vale;Uso/qualidade da água;Uso/qualidade da água;Lideranças;Atendida;PRSA;Individual
04/04/2024;Mário Campos;Funil;Visita à horta da Sra. J., na comunidade do Funil, para apresentar uma proposta de instalação de sistema de automatização do monitoramento dos poços instalados na sua propriedade. Será uma primeira instalação que vai funcionar como teste, um projeto piloto antes de novas instalações.;Alinhamento com equipe de saneamento. Agendamento de visita para apresentação da proposta de instalação do equipamento de monitoramento na propriedade.;Inciativa Vale;Uso/qualidade da água;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;PRSA;Individual
05/04/2024;Esmeraldas;Taquaras;Reclama que o painel do poço artesiano não está funcionando.;Equipe de manutenção irá na propriedade para verificar o problema.;Solicitação Comunidade ;Uso/qualidade da água;Estruturas de fornecimento hídrico;Comunidade em Geral;Em atendimento;PRSA;Individual
11/04/2024;Juatuba;Ponte Nova;Reunião com a comunidade;Reunião com alguns moradores que possuem o sistema de filtragem, com a presença de uma agente de saúde do município, para dar uma devolutiva aos proprietários a respeito de alguns resultados, negativos ou positivos, da coleta de água das suas cisternas.;Inciativa Vale;Uso/qualidade da água;Uso/qualidade da água;Comunidade em Geral;Atendida;PRSA;Coletiva
16/05/2024;Pequi;Pindaíbas;Reunião devolutiva;Realizada reunião para apresentação dos resultados apontados nos estudos de análise da água e biodiversidade na bacia do Rio Paraopeba.;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
27/05/2024;Esmeraldas;Taquaras;Reclama da demora na entrega do laudo, referente ao estudo do solo realizado pela Vale em sua propriedade.;Foi informado que os laudos ainda não foram disponibilizados para entrega;Solicitação Comunidade ;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
20/06/2024;Pará De Minas;Córrego do Barro;Reunião devolutiva;Realizada reunião para apresentação dos resultados apontados nos estudos de análise da água e biodiversidade na bacia do Rio Paraopeba.;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
25/06/2024;Mário Campos;Reta do Jacaré;Visita em Campo para avaliar possibilidade de construção de rampa.;Realizamos reunião online com equipe do meio físico para alinhamento de novos acessos para sondagem no Rio Paraopeba. Durante o diálogo, foi informado que na propriedade do senhor G. T. existe necessidade de movimentação de um grande volume de terra para construção da rampa de acesso. A equipe de meio físico ficou de alinhar com equipe de obras e realizar nova visita no local junto com a equipe de RC.;Inciativa Vale;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em atendimento;PRSA;Individual
25/06/2024;Mário Campos;Adutora 2;Visita em campo para avaliar reclamação de moradores quanto ao trânsito de veículos na Rua Adutora 2.;Recebemos reclamação dos moradores da Rua Adutora 2, em razão da poeira gerada pelas caminhonetes que estão a serviço da UMISAN em atividade de sondagem no Rio Paraopeba. A RC conversou com alguns moradores e informou que a atividade já havia finalizado, ficando combinado que sempre que houver necessidade de acesso com maior fluxo no local, será articulado umectação para região;Solicitação Comunidade ;Qualidade do ar/poeira;Qualidade do ar/poeira;Comunidade em Geral;Respondida;PRSA;Coletiva
04/07/2024;São José Da Varginha;Sede;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
08/07/2024;Mário Campos;Reta do Jacaré;Visita da equipe de obras à propriedade do senhor V.T e G.T para avaliar local de possível instalação de rampa.;Analisar viabilidade de construção de rampa na propriedade. A visita contou com a presença da equipe de obra e meio ambiente.;Iniciativa Vale;Uso/qualidade da água;Obras - outros;Comunidade em Geral;Não se aplica;PRSA;Individual
17/07/2024;Betim;Cruzeiro;Acompanhamento de Sondagens;Foi explicado para liderança que a sondagem realiza a retirada de amostra do solo para análise, e os locais vistoriados também são fundamentais para movimentação do flutuante. Devido ao baixo nível do rio não é possível navegar em todo o seu percurso por isso a necessidade da sua retirada e transportada pelo caminhão prancha até o próximo ponto.;Iniciativa Vale;Uso/qualidade do solo;Uso/qualidade do solo;Lideranças;Não se aplica;PRSA;Coletiva
01/08/2024;Esmeraldas;Taquaras;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
20/08/2024;Esmeraldas;São José, Cachoeirinha e Riacho;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
05/09/2024;Paraopeba;Sede;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
10/09/2024;Esmeraldas;Taquaras;Diálogo com liderança local para entrega do relatório de monitoramento do ar e esclarecimento sobre a necessidade de mudança de local do aparelho instalado na comunidade;Diálogo realizado;Solicitação Comunidade ;Qualidade do ar/poeira;Qualidade do ar/poeira;Lideranças;Não se aplica;PRSA;Coletiva
