Data;Cidade;Localidade;Tipo Ação;Pauta;Tratativa;Origem;Área Temática;MicroCategoria;Status;Classificação;Individual/Coletiva;Tipo de Manifestação
20/02/2024;Brumadinho;Barragem;Atendimento 0800;A moradora informa sobre a presença de um cachorro mancando no canteiro de obras, próximo ao refeitório. Solicita que a Vale recolha o animal. Endereço: Córrego do Feijão, Próximo à Barragem que Rompeu Canteiro de obras próximo à bacia 6, ao lado da empresa Freize.;Prezada Sra. Thays da Cruz Medeiros, após análise da sua solicitação, a equipe responsável informa que não é realizado recolhimento de animais em situação de abandono.;Comunidade;Fauna;Resgate de fauna doméstica;Respondida;PRSA;Individual;Solicitação
14/03/2024;Brumadinho;Planalto;Atendimento 0800;"O morador relata que o informativo ""Vale +Comunidades"" de Brumadinho do mês de fevereiro apresenta o livro ""Memórias das Águas: Contos de Conceição de Itaguá, Brumadinho - MG"", mas não informa sobre como adquirir. Informa que trabalha na Câmara Municipal e deseja adquirir exemplares para o gabinete. O livro faz parte de um projeto chamado Educação Patrimonial, inserido nos programas de reparação da Vale na região.";Prezado Morador, sua solicitação foi enviada para verificação e análise da área responsável. Assim que tivermos um parecer, retornaremos.;Comunidade;Patrimônio Cultural;Programa Integrado de Educação Patrimonial;Em análise;PRSA;Individual;Solicitação
25/04/2024;Brumadinho;Dragagem Sump;Atendimento 0800;Funcionário solicita resgate/afugentamento de 8 (patos) animais silvestres, 4 no reservatório auxiliar e 4 no Sump espaço 3, solicita em caráter de urgência por se tratar da área ambiental do rompimento da barragem de Brumadinho. ;A demanda foi encaminhada para a equipe de fauna silvestre que se direcionou imediatamente para o local. ;Comunidade;Fauna;Resgate de fauna silvestre;Atendida;PRSA;Individual;Solicitação
13/05/2024;Juatuba;;Atendimento 0800;Morador informa que possui um Sítio na beira do Rio Paraopeba, que foi atingido pela enchente de janeiro de 2022. Informa que a propriedade está coberta de lama e solicita a retirada da lama pela Vale.. Reclama que até o momento não sabe se o rejeito é tóxico, se pode retirar e como retirar. Informa que possui interesse em pôr a propriedade para venda, mas não sabe como resolver a situação.;A Vale reafirma os posicionamentos externados em outras oportunidades, no sentido de que os danos decorrentes das enchentes do Rio Paraopeba no município informado não estão relacionados ao rompimento da Barragem B1, tendo sido causados por um evento de força maior, qual  seja, chuvas em volume muito superior ao histórico da região, de modo que não há que se falar em responsabilização da Companhia. Destaca-se que a Vale realizou a análise de amostras de solo em diversos pontos, tendo os resultados comprovado a ausência de toxicidade do material analisado, bem como a ausência de características de rejeito. O material carreado pelas enchentes se trata de sedimentos naturais do Rio. Por estas razões, a Vale não realiza a limpeza de propriedades particular.;Comunidade;Áreas Inundadas;Impactos de movimentação de solo ou sedimentos;Negado;PRSA;Individual;Solicitação
14/05/2024;Juatuba;Satélite;Atendimento 0800;Morador informa que seu terreno foi danificado devido às fortes chuvas deste ano na região, que o espaço é contornado pelo ribeirão Serra Azul que anteriormente possuía aterro e em decorrência ao rompimento da barragem em 2019 esse aterro foi levado, no entanto, o ribeirão inundou e atingiu seu terreno, identificou também que sua residência está com rachaduras. Portanto, solicita uma vistoria da Vale para realizar o reparo.;A Vale reafirma os posicionamentos externados em outras oportunidades, no sentido de que os danos decorrentes das enchentes do Rio Paraopeba no município de Juatuba não estão relacionados ao rompimento da Barragem B1, tendo sido causados por um evento de força maior, qual seja, chuvas em volume muito superior ao histórico da região, de modo que não há que se falar em responsabilização da Companhia. Destaca-se que a Vale realizou a análise de amostras de solo em diversos pontos, tendo os resultados comprovado a ausência de toxicidade do material analisado, bem como a ausência de características de rejeito. O material carreado pelas enchentes se trata de sedimentos naturais do Rio. Por estas razões, a Vale não realiza a limpeza de propriedades particulares atingidas pelas cheias do Rio Paraopeba.;Comunidade;Áreas Inundadas;Impactos de movimentação de solo ou sedimentos;Respondida;PRSA;Individual;Reclamação
13/06/2024;Brumadinho;;Atendimento 0800;Moradora informa que comprou um terreno nas margens do Rio Paraopeba, e, devido às fortes chuvas que houve na região, o Rio Paraopeba sofreu com a elevação de nível e, por isso, acabou levando parte da sua residência. Sendo assim, a mesma  deseja verificar a possibilidade da Vale fazer uma contenção pra controlar a elevação do nível na localidade, para que o mesmo não chegue novamente até a residência. ;A manifestação foi encaminhada para avaliação da equipe responsável. Acompanhar a solicitação pelo Protocolo: 20240604182852115. ;Comunidade;Áreas Inundadas;Impactos de movimentação de solo ou sedimentos;Respondida;PRSA;Individual;Solicitação
21/06/2024;Brumadinho;;Atendimento 0800;Morador solicitou acesso aos resultados das análises que foram realizadas em poço artesiano em sua propriedade. ;O atendimento da Vale é realizado para as situações em que o rompimento da Barragem B1 impossibilitou ou interrompeu o acesso à água. A Vale analisou as informações da propriedade e o laudo referente a qualidade de água será disponibilizado no ato da liberação para uso destinado do poço. ;Comunidade;Qualidade da água;Uso/qualidade da água;Negado;PRSA;Individual;Solicitação
16/08/2024;Três Marias;;Atendimento 0800;A parte autora através de sua procuradora vem solicitar que a Vale S/A informe quais são os metais que foram despejados no rio Paraopeba, em virtude do rompimento da Barragem em Brumadinho. Solicita também que apresente os níveis em que estão estes metais no rio Paraopeba. Informar se o IGAM / MG está proibindo a utilização da água do rio Paraopeba para qualquer finalidade, estando inclusive proibido o contato com a água.   Informar quais as medidas que a Vale S/A está tomando na localidade na parte autora para mitigar as consequências do rompimento da Barragem em Brumadinho.   ;Em relação à solicitação, esclarecemos que, desde 25/01/2019, a VALE realiza análises técnicas de qualidade da água do rio Paraopeba, cujos resultados são disponibilizados no endereço eletrônico: https://vale.com/pt/meio-ambiente-reparacao, onde inclusive pode ser feito o download da cartilha anexa. Outra fonte de informação são os documentos oficiais do Estado de Minas Gerais, relatório mensais denominados de BOLETIM INFORMATIVO DO CIDADÃO SOBRE A QUALIDADE DA ÁGUA NO RIO PARAOPEBA, que neste momento encontra-se em sua 59ª edição, e pode ser acessado no endereço eletrônico: Fundação Estadual do Meio Ambiente - FEAM - BOLETIM INFORMATIVO DO CIDADÃO SOBRE A QUALIDADE DA ÁGUA NO RIO PARAOPEBA.  Importante informar que, desde 31/01/2019, os órgãos públicos recomendam a não utilização da água bruta do rio Paraopeba ou em fontes subterrâneas localizadas em até 100m das margens do rio, conforme Nota de Esclarecimento 9 – Desastre Barragem 1 (anexa), emitida pela SES (Secretaria de Estado de Saúde), SEMAD (Secretaria de Estado de Meio Ambiente) e SEAPA (Secretaria de Estado de Agricultura, Pecuária e Abastecimento). Ainda, nos termos do comunicado “Suspensão do uso de água BRUTA é ampliada no Rio Paraopeba” (anexo), emitido em 22/02/20219, a utilização da água bruta do rio Paraopeba, desde a confluência do Rio Paraopeba com o Córrego Ferro-Carvão até Pará de Minas, trecho esse estendido até o município de Pompéu, está suspensa.  Por fim, além dos monitoramentos permanentes da água do rio, acompanhados pelos órgãos ambientais de Minas Gerais, conforme definido no âmbito do Acordo Judicial de Reparação Integral, a Vale oferece, em caráter emergencial, água potável e alimentação animal, seguindo os critérios de elegibilidade, para as propriedades rurais que tiveram os usos do rio restritos.  28/08/2024 - A solicitação foi enviada para verificação e análise da área responsável. Assim que a empresa tiver um parecer, retornará.   ;Comunidade;Estudos e monitoramentos ambientais;Uso/qualidade da água do rio Paraopeba;Respondida;PRSA;Individual;Solicitação
28/08/2024;Betim;;Atendimento 0800;A parte autora através de sua procuradora vem solicitar que a Vale S/A informe quais são os metais que foram despejados no rio Paraopeba, em virtude do rompimento da Barragem em Brumadinho. Solicita também que apresente os níveis em que estão estes metais no rio Paraopeba. Informar se o IGAM / MG está proibindo a utilização da água do rio Paraopeba para qualquer finalidade, estando inclusive proibido o contato com a água.   Informar quais as medidas que a Vale S/A está tomando na localidade na parte autora para mitigar as consequências do rompimento da Barragem em Brumadinho.   ;Em relação à solicitação, esclarecemos que, desde 25/01/2019, a VALE realiza análises técnicas de qualidade da água do rio Paraopeba, cujos resultados são disponibilizados no endereço eletrônico: https://vale.com/pt/meio-ambiente-reparacao, onde inclusive pode ser feito o download da cartilha anexa. Outra fonte de informação são os documentos oficiais do Estado de Minas Gerais, relatório mensais denominados de BOLETIM INFORMATIVO DO CIDADÃO SOBRE A QUALIDADE DA ÁGUA NO RIO PARAOPEBA, que neste momento encontra-se em sua 59ª edição, e pode ser acessado no endereço eletrônico: Fundação Estadual do Meio Ambiente - FEAM - BOLETIM INFORMATIVO DO CIDADÃO SOBRE A QUALIDADE DA ÁGUA NO RIO PARAOPEBA.  Importante informar que, desde 31/01/2019, os órgãos públicos recomendam a não utilização da água bruta do rio Paraopeba ou em fontes subterrâneas localizadas em até 100m das margens do rio, conforme Nota de Esclarecimento 9 – Desastre Barragem 1 (anexa), emitida pela SES (Secretaria de Estado de Saúde), SEMAD (Secretaria de Estado de Meio Ambiente) e SEAPA (Secretaria de Estado de Agricultura, Pecuária e Abastecimento). Ainda, nos termos do comunicado “Suspensão do uso de água BRUTA é ampliada no Rio Paraopeba” (anexo), emitido em 22/02/20219, a utilização da água bruta do rio Paraopeba, desde a confluência do Rio Paraopeba com o Córrego Ferro-Carvão até Pará de Minas, trecho esse estendido até o município de Pompéu, está suspensa.  Por fim, além dos monitoramentos permanentes da água do rio, acompanhados pelos órgãos ambientais de Minas Gerais, conforme definido no âmbito do Acordo Judicial de Reparação Integral, a Vale oferece, em caráter emergencial, água potável e alimentação animal, seguindo os critérios de elegibilidade, para as propriedades rurais que tiveram os usos do rio restritos.  28/08/2024 - A solicitação foi enviada para verificação e análise da área responsável. Assim que a empresa tiver um parecer, retornará.   ;Comunidade;Estudos e monitoramentos ambientais;Uso/qualidade da água do rio Paraopeba;Respondida;PRSA;Individual;Solicitação
12/09/2024;Curvelo;;Atendimento 0800;A parte autora através de sua procuradora vem solicitar que a Vale S/A informe quais são os metais que foram despejados no rio Paraopeba, em virtude do rompimento da Barragem em Brumadinho. Solicita também que apresente os níveis em que estão estes metais no rio Paraopeba. Informar se o IGAM / MG está proibindo a utilização da água do rio Paraopeba para qualquer finalidade, estando inclusive proibido o contato com a água.   Informar quais as medidas que a Vale S/A está tomando na localidade na parte autora para mitigar as consequências do rompimento da Barragem em Brumadinho.   ;Em relação à solicitação, esclarecemos que, desde 25/01/2019, a VALE realiza análises técnicas de qualidade da água do rio Paraopeba, cujos resultados são disponibilizados no endereço eletrônico: https://vale.com/pt/meio-ambiente-reparacao, onde inclusive pode ser feito o download da cartilha anexa. Outra fonte de informação são os documentos oficiais do Estado de Minas Gerais, relatório mensais denominados de BOLETIM INFORMATIVO DO CIDADÃO SOBRE A QUALIDADE DA ÁGUA NO RIO PARAOPEBA, que neste momento encontra-se em sua 59ª edição, e pode ser acessado no endereço eletrônico: Fundação Estadual do Meio Ambiente - FEAM - BOLETIM INFORMATIVO DO CIDADÃO SOBRE A QUALIDADE DA ÁGUA NO RIO PARAOPEBA.  Importante informar que, desde 31/01/2019, os órgãos públicos recomendam a não utilização da água bruta do rio Paraopeba ou em fontes subterrâneas localizadas em até 100m das margens do rio, conforme Nota de Esclarecimento 9 – Desastre Barragem 1 (anexa), emitida pela SES (Secretaria de Estado de Saúde), SEMAD (Secretaria de Estado de Meio Ambiente) e SEAPA (Secretaria de Estado de Agricultura, Pecuária e Abastecimento). Ainda, nos termos do comunicado “Suspensão do uso de água BRUTA é ampliada no Rio Paraopeba” (anexo), emitido em 22/02/20219, a utilização da água bruta do rio Paraopeba, desde a confluência do Rio Paraopeba com o Córrego Ferro-Carvão até Pará de Minas, trecho esse estendido até o município de Pompéu, está suspensa.  Por fim, além dos monitoramentos permanentes da água do rio, acompanhados pelos órgãos ambientais de Minas Gerais, conforme definido no âmbito do Acordo Judicial de Reparação Integral, a Vale oferece, em caráter emergencial, água potável e alimentação animal, seguindo os critérios de elegibilidade, para as propriedades rurais que tiveram os usos do rio restritos.  28/08/2024 - A solicitação foi enviada para verificação e análise da área responsável. Assim que a empresa tiver um parecer, retornará.   ;Comunidade;Estudos e monitoramentos ambientais;Uso/qualidade da água do rio Paraopeba;Respondida;PRSA;Individual;Solicitação
24/09/2024;Pompéu;;Atendimento 0800;A parte autora através de sua procuradora vem solicitar que a Vale S/A informe quais são os metais que foram despejados no rio Paraopeba, em virtude do rompimento da Barragem em Brumadinho. Solicita também que apresente os níveis em que estão estes metais no rio Paraopeba. Informar se o IGAM / MG está proibindo a utilização da água do rio Paraopeba para qualquer finalidade, estando inclusive proibido o contato com a água.   Informar quais as medidas que a Vale S/A está tomando na localidade na parte autora para mitigar as consequências do rompimento da Barragem em Brumadinho.   ;Em relação à solicitação, esclarecemos que, desde 25/01/2019, a VALE realiza análises técnicas de qualidade da água do rio Paraopeba, cujos resultados são disponibilizados no endereço eletrônico: https://vale.com/pt/meio-ambiente-reparacao, onde inclusive pode ser feito o download da cartilha anexa. Outra fonte de informação são os documentos oficiais do Estado de Minas Gerais, relatório mensais denominados de BOLETIM INFORMATIVO DO CIDADÃO SOBRE A QUALIDADE DA ÁGUA NO RIO PARAOPEBA, que neste momento encontra-se em sua 59ª edição, e pode ser acessado no endereço eletrônico: Fundação Estadual do Meio Ambiente - FEAM - BOLETIM INFORMATIVO DO CIDADÃO SOBRE A QUALIDADE DA ÁGUA NO RIO PARAOPEBA.  Importante informar que, desde 31/01/2019, os órgãos públicos recomendam a não utilização da água bruta do rio Paraopeba ou em fontes subterrâneas localizadas em até 100m das margens do rio, conforme Nota de Esclarecimento 9 – Desastre Barragem 1 (anexa), emitida pela SES (Secretaria de Estado de Saúde), SEMAD (Secretaria de Estado de Meio Ambiente) e SEAPA (Secretaria de Estado de Agricultura, Pecuária e Abastecimento). Ainda, nos termos do comunicado “Suspensão do uso de água BRUTA é ampliada no Rio Paraopeba” (anexo), emitido em 22/02/20219, a utilização da água bruta do rio Paraopeba, desde a confluência do Rio Paraopeba com o Córrego Ferro-Carvão até Pará de Minas, trecho esse estendido até o município de Pompéu, está suspensa.  Por fim, além dos monitoramentos permanentes da água do rio, acompanhados pelos órgãos ambientais de Minas Gerais, conforme definido no âmbito do Acordo Judicial de Reparação Integral, a Vale oferece, em caráter emergencial, água potável e alimentação animal, seguindo os critérios de elegibilidade, para as propriedades rurais que tiveram os usos do rio restritos.  28/08/2024 - A solicitação foi enviada para verificação e análise da área responsável. Assim que a empresa tiver um parecer, retornará.   ;Comunidade;Estudos e monitoramentos ambientais;Uso/qualidade da água do rio Paraopeba;Respondida;PRSA;Individual;Solicitação
